Map,Origin,Destination,Cout,CPUtimeDijkstra,NodesReachedD,CPUtimeAStar,NodesReachedA
belgium,215150,569991,135464.90625,1820,963569,340,158670
belgium,672140,464817,242189.359375,1707,980367,1502,864714
belgium,442260,626610,96692.5390625,1175,621629,244,152032
belgium,601410,326654,99429.1953125,1458,773146,272,196354
belgium,64138,264961,88125.578125,1085,668828,187,153276
belgium,563875,970800,33434.62890625,504,157082,39,19938
belgium,1034271,665153,18030.494140625,103,104471,67,50818
belgium,857384,603665,116862.3671875,1730,859518,443,332878
belgium,761181,567667,85921.921875,889,609943,119,115356
belgium,992169,221798,41417.09375,128,134584,27,25564
belgium,1004993,770970,52706.41015625,541,383667,78,79288
belgium,79966,422630,57738.17578125,534,414251,144,68734
belgium,656767,438573,3869.4931640625,17,10981,4,2568
belgium,246694,609989,201075.296875,1786,954867,1209,716814
belgium,467442,854117,79154.4296875,415,362291,109,89286
belgium,1014351,695073,166443.046875,1200,816966,1591,443756
belgium,396177,611297,46265.57421875,113,77770,32,24084
belgium,366026,754533,124559.0234375,1673,741456,301,174174
belgium,757887,280373,90301.890625,909,499950,109,105450
belgium,841245,662772,58397.90625,350,251431,81,76664
belgium,90835,410310,75458.03125,874,584580,363,161390
belgium,117165,775617,98182.625,955,631664,106,97246
belgium,780075,981308,176459.453125,1869,937159,901,593564
belgium,912403,460414,181780.609375,1307,830701,1423,607138
belgium,741916,705392,55509.7109375,205,148393,41,34774
belgium,153693,256648,155327.25,1341,758709,655,529606
belgium,880946,722601,83421.390625,376,117300,55,51130
belgium,826631,408189,57054.484375,1088,397790,202,62142
belgium,445484,838971,45537.1015625,551,176093,50,26046
belgium,563459,158053,19800.798828125,37,31340,13,9718
belgium,763640,838039,56403.52734375,1315,372913,105,41934
belgium,796761,120903,106779.5703125,1260,526958,484,247142
belgium,49648,465309,148682.703125,1376,773012,817,405326
belgium,349514,477432,96754.875,1540,606327,219,95126
belgium,8030,41463,38171.92578125,272,155913,39,28910
belgium,176194,779816,157941.78125,1246,929223,553,543792
belgium,1005544,886811,120014.609375,1339,813784,638,322734
belgium,340938,247032,88444.03125,843,503441,401,263050
belgium,683712,181581,163105.15625,1153,842097,777,515614
belgium,1427,674654,98092.3828125,711,583018,386,139030
belgium,218484,732318,67706.921875,342,147517,195,102438
belgium,906505,489105,42092.37890625,261,125685,29,16102
belgium,378277,224387,141963.234375,1242,655528,758,432432
belgium,14968,341115,71919.5390625,638,456521,47,42132
belgium,463457,810068,153283.1875,1197,803967,225,215404
belgium,640330,625998,52895.046875,477,350846,23,26788
belgium,564831,693971,107739.296875,808,755589,244,277352
belgium,620889,652191,185011.859375,931,817418,899,446684
belgium,157315,1083,43782.62109375,387,268975,183,101126
belgium,371547,906330,50260.45703125,205,156053,23,19852
belgium,460858,567253,41873.98828125,245,128198,24,15160
belgium,756577,324483,46959.52734375,104,100770,41,39608
belgium,260915,659815,226237.953125,1115,879859,1105,930540
belgium,496398,824952,109784.734375,903,854472,333,337042
belgium,783211,27629,85290.8984375,313,245049,99,106970
belgium,575450,598580,124786.203125,1650,925508,254,199908
belgium,929345,715324,90078.6640625,1201,474176,323,186876
belgium,657274,387207,273101.4375,1391,922558,846,678786
belgium,530446,937206,114651.59375,343,166298,180,55438
belgium,443354,192270,117984.53125,961,669181,296,212640
belgium,244447,803950,63812.53125,1093,415506,150,125848
belgium,669536,944349,72220.2265625,528,469857,171,128300
belgium,294822,261835,116020.2890625,1002,781574,444,314234
belgium,470925,226424,123009.5234375,1396,769833,237,148466
belgium,355138,1030931,198382.65625,1226,966539,931,727596
belgium,818209,509850,124376.0859375,1542,875144,194,154198
belgium,945999,1015992,77641.609375,379,285271,190,131300
belgium,910442,664853,0.0,1431,1021082,2348,2042164
belgium,652363,636156,0.0,66,1,1,2
belgium,944526,530859,62223.15625,1340,281691,148,64352
belgium,286301,139374,76405.8984375,624,172536,90,52918
belgium,890297,180494,65781.8125,1015,244188,121,43700
belgium,436608,600568,246397.71875,3059,1003515,2548,1066280
belgium,78585,853795,102671.03125,1449,817622,346,247868
belgium,920306,196310,140660.78125,1590,505248,512,135536
belgium,488113,198308,92691.5625,532,370965,137,109022
belgium,568957,144328,154049.46875,1130,536416,630,198978
belgium,710571,377495,51453.6640625,986,335418,93,18136
belgium,269592,675729,49479.4375,1012,335091,136,44002
belgium,1019787,626536,91588.875,1331,444862,424,196378
belgium,86204,132370,76730.8828125,1247,512743,194,131448
belgium,247706,380325,100639.1328125,291,220349,362,155330
belgium,376138,726997,75807.46875,480,278419,188,78848
belgium,758039,1005784,11125.9755859375,122,60553,52,19270
belgium,633419,704308,102250.59375,1683,736377,505,325830
belgium,226791,498948,25905.328125,151,156853,82,72616
belgium,637744,778405,75381.2890625,1452,550289,94,86140
belgium,166833,298405,41136.4765625,620,268272,77,51940
belgium,677040,433519,197909.0,1496,787817,1119,707412
belgium,773717,439250,92946.625,1215,666924,104,95518
belgium,216504,89604,51623.21484375,247,179135,62,42262
belgium,886116,221854,63298.5625,806,439390,190,137200
belgium,139344,426448,0.0,2044,1021082,3258,2042164
belgium,1015685,1031290,64692.50390625,564,176758,55,37356
belgium,779425,8828,85093.0078125,758,376908,200,133866
belgium,612487,675999,85100.0234375,1138,572808,172,103154
belgium,13213,419560,167878.6875,1346,966197,720,521022
belgium,453235,576327,117549.390625,1266,700256,159,119064
belgium,489866,122088,82787.5546875,706,482842,333,282368
belgium,817585,993857,47952.11328125,147,129333,46,44748
