Map  Origin  Destination  Cout  CPUtimeDijkstra  NodesReachedD  CPUtimeAStar  NodesReachedA
1. belgium  215150  569991  135464.90625  1820ms  963569  340ms  158670
2. belgium  672140  464817  242189.359375  1707ms  980367  1502ms  864714
3. belgium  442260  626610  96692.5390625  1175ms  621629  244ms  152032
4. belgium  601410  326654  99429.1953125  1458ms  773146  272ms  196354
5. belgium  64138  264961  88125.578125  1085ms  668828  187ms  153276
6. belgium  563875  970800  33434.62890625  504ms  157082  39ms  19938
7. belgium  1034271  665153  18030.494140625  103ms  104471  67ms  50818
8. belgium  857384  603665  116862.3671875  1730ms  859518  443ms  332878
9. belgium  761181  567667  85921.921875  889ms  609943  119ms  115356
10. belgium  992169  221798  41417.09375  128ms  134584  27ms  25564
11. belgium  1004993  770970  52706.41015625  541ms  383667  78ms  79288
12. belgium  79966  422630  57738.17578125  534ms  414251  144ms  68734
13. belgium  656767  438573  3869.4931640625  17ms  10981  4ms  2568
14. belgium  246694  609989  201075.296875  1786ms  954867  1209ms  716814
15. belgium  467442  854117  79154.4296875  415ms  362291  109ms  89286
16. belgium  1014351  695073  166443.046875  1200ms  816966  1591ms  443756
17. belgium  396177  611297  46265.57421875  113ms  77770  32ms  24084
18. belgium  366026  754533  124559.0234375  1673ms  741456  301ms  174174
19. belgium  757887  280373  90301.890625  909ms  499950  109ms  105450
20. belgium  841245  662772  58397.90625  350ms  251431  81ms  76664
21. belgium  90835  410310  75458.03125  874ms  584580  363ms  161390
22. belgium  117165  775617  98182.625  955ms  631664  106ms  97246
23. belgium  780075  981308  176459.453125  1869ms  937159  901ms  593564
24. belgium  912403  460414  181780.609375  1307ms  830701  1423ms  607138
25. belgium  741916  705392  55509.7109375  205ms  148393  41ms  34774
26. belgium  153693  256648  155327.25  1341ms  758709  655ms  529606
27. belgium  880946  722601  83421.390625  376ms  117300  55ms  51130
28. belgium  826631  408189  57054.484375  1088ms  397790  202ms  62142
29. belgium  445484  838971  45537.1015625  551ms  176093  50ms  26046
30. belgium  563459  158053  19800.798828125  37ms  31340  13ms  9718
31. belgium  763640  838039  56403.52734375  1315ms  372913  105ms  41934
32. belgium  796761  120903  106779.5703125  1260ms  526958  484ms  247142
33. belgium  49648  465309  148682.703125  1376ms  773012  817ms  405326
34. belgium  349514  477432  96754.875  1540ms  606327  219ms  95126
35. belgium  8030  41463  38171.92578125  272ms  155913  39ms  28910
36. belgium  176194  779816  157941.78125  1246ms  929223  553ms  543792
37. belgium  1005544  886811  120014.609375  1339ms  813784  638ms  322734
38. belgium  340938  247032  88444.03125  843ms  503441  401ms  263050
39. belgium  683712  181581  163105.15625  1153ms  842097  777ms  515614
40. belgium  1427  674654  98092.3828125  711ms  583018  386ms  139030
41. belgium  218484  732318  67706.921875  342ms  147517  195ms  102438
42. belgium  906505  489105  42092.37890625  261ms  125685  29ms  16102
43. belgium  378277  224387  141963.234375  1242ms  655528  758ms  432432
44. belgium  14968  341115  71919.5390625  638ms  456521  47ms  42132
45. belgium  463457  810068  153283.1875  1197ms  803967  225ms  215404
46. belgium  640330  625998  52895.046875  477ms  350846  23ms  26788
47. belgium  564831  693971  107739.296875  808ms  755589  244ms  277352
48. belgium  620889  652191  185011.859375  931ms  817418  899ms  446684
49. belgium  157315  1083  43782.62109375  387ms  268975  183ms  101126
50. belgium  371547  906330  50260.45703125  205ms  156053  23ms  19852
51. belgium  460858  567253  41873.98828125  245ms  128198  24ms  15160
52. belgium  756577  324483  46959.52734375  104ms  100770  41ms  39608
53. belgium  260915  659815  226237.953125  1115ms  879859  1105ms  930540
54. belgium  496398  824952  109784.734375  903ms  854472  333ms  337042
55. belgium  783211  27629  85290.8984375  313ms  245049  99ms  106970
56. belgium  575450  598580  124786.203125  1650ms  925508  254ms  199908
57. belgium  929345  715324  90078.6640625  1201ms  474176  323ms  186876
58. belgium  657274  387207  273101.4375  1391ms  922558  846ms  678786
59. belgium  530446  937206  114651.59375  343ms  166298  180ms  55438
60. belgium  443354  192270  117984.53125  961ms  669181  296ms  212640
61. belgium  244447  803950  63812.53125  1093ms  415506  150ms  125848
