Map,Origin,Destination,Cout,CPUtimeDijkstra,NodesReachedD,CPUtimeAStar,NodesReachedA
belgium,519961,602982,3313.5775690240644,1353,263445,1320,360982
belgium,426325,762514,4340.103216739567,1569,682585,1442,877022
belgium,484148,994169,7562.9184145962145,1353,820456,2426,1470258
belgium,392425,783448,7638.044823859644,868,590028,1512,883074
belgium,960202,1032375,4734.923709465844,288,224798,231,241012
belgium,917527,558325,6100.696221414368,1159,738500,1253,1040910
belgium,288108,131840,3657.987782845905,637,384406,502,374776
belgium,1006809,175836,2850.2081863608532,666,346398,426,311252
belgium,553267,372495,5454.516426967848,1252,717744,1404,1214842
belgium,1028205,260258,7129.317642882483,1574,989450,2675,1735250
belgium,952048,320854,2736.2335020357086,1069,501854,823,581054
belgium,863426,466254,5468.887712646151,912,660534,1631,1100966
belgium,295054,364182,2301.7257443020226,789,384717,535,413304
belgium,435025,489067,4708.8411033975635,1122,661013,1513,983978
belgium,598562,686316,6944.577757313867,1509,771509,1551,1131536
belgium,92816,38355,1054.510248100008,88,74146,133,110366
belgium,381570,481536,7239.735864441527,952,573799,1039,689880
belgium,607187,941655,2464.3332996788013,396,261278,419,289940
belgium,365216,498139,7118.192254804538,1675,935667,1976,1663880
belgium,141072,267438,2088.5678068077536,485,313429,552,390776
belgium,508384,637309,6129.260774677913,1849,912056,1970,1181140
belgium,361432,771007,5614.0907334094145,1873,862098,1737,1144500
belgium,419158,217072,5575.916333484229,1324,717570,1853,1180342
belgium,390334,396460,3722.0383756911124,914,466923,693,482088
belgium,557003,805818,5242.849818059639,995,623169,1111,695048
belgium,184599,21760,6267.101098725319,1723,930581,2512,1709382
belgium,546421,1001537,5564.389923284516,1672,860175,2842,1424396
belgium,498766,494660,2243.654133165089,226,163817,281,161060
belgium,244478,714874,4414.737498162985,1720,827072,1512,1160716
belgium,466713,665312,4752.616829294207,1512,917275,1482,1231350
belgium,907087,764935,4035.924192728859,914,550453,982,687710
belgium,1001095,789183,4050.2680035307326,870,537130,1066,737358
belgium,725540,941142,2448.6490395104547,374,249561,354,248598
belgium,852059,846305,3238.3372800134944,91,74614,131,104444
belgium,883684,707560,1350.9928690346314,146,95870,86,77438
belgium,162002,456316,3881.173840422311,1577,812810,1161,1049410
belgium,1012773,772952,7614.132379885238,1271,842219,2191,1528966
belgium,906997,93483,5567.97739775878,1429,734955,1440,1047514
belgium,439801,165353,3593.1170041568316,587,406235,504,372502
belgium,909173,256836,2022.4209956557936,307,186518,257,205852
belgium,1029889,924121,1887.3394038193571,329,209198,167,153182
belgium,486169,280961,5342.3279555768995,1358,851072,1714,1169288
belgium,358805,448769,6696.646992290816,1250,704037,1630,1215902
belgium,399249,161273,4119.690351825251,1132,641553,1269,850268
belgium,529502,751988,2443.4108497073735,158,135863,270,178228
belgium,515018,883833,4338.049910702204,952,544312,954,754112
belgium,68806,186491,2108.156555044583,368,182802,207,171932
belgium,444210,1022095,3669.2127800121293,559,326179,459,374384
belgium,1017955,659056,4478.743740382982,1248,834014,1702,1157554
belgium,1012789,829848,6050.717319133048,830,646140,1391,999922
belgium,326243,251428,7924.83106056368,1892,934661,2254,1638912
belgium,448977,919439,1684.1895449570256,169,107701,237,127372
belgium,437765,888923,2119.059001710893,116,72399,110,87186
belgium,708069,818622,3386.296729685649,776,396993,801,570592
belgium,638427,264556,1690.15210691779,338,135480,147,114918
belgium,185320,948202,973.7929486981491,154,95261,167,134006
