Map  Origin  Destination  Cout  CPUtimeDijkstra  NodesReachedD  CPUtimeAStar  NodesReachedA
1. belgium  519961  602982  3313.5775690240644  1353ms  263445  1320ms  360982
2. belgium  426325  762514  4340.103216739567  1569ms  682585  1442ms  877022
3. belgium  484148  994169  7562.9184145962145  1353ms  820456  2426ms  1470258
4. belgium  392425  783448  7638.044823859644  868ms  590028  1512ms  883074
5. belgium  960202  1032375  4734.923709465844  288ms  224798  231ms  241012
6. belgium  917527  558325  6100.696221414368  1159ms  738500  1253ms  1040910
7. belgium  288108  131840  3657.987782845905  637ms  384406  502ms  374776
8. belgium  1006809  175836  2850.2081863608532  666ms  346398  426ms  311252
9. belgium  553267  372495  5454.516426967848  1252ms  717744  1404ms  1214842
10. belgium  1028205  260258  7129.317642882483  1574ms  989450  2675ms  1735250
11. belgium  952048  320854  2736.2335020357086  1069ms  501854  823ms  581054
12. belgium  863426  466254  5468.887712646151  912ms  660534  1631ms  1100966
13. belgium  295054  364182  2301.7257443020226  789ms  384717  535ms  413304
14. belgium  435025  489067  4708.8411033975635  1122ms  661013  1513ms  983978
15. belgium  598562  686316  6944.577757313867  1509ms  771509  1551ms  1131536
16. belgium  92816  38355  1054.510248100008  88ms  74146  133ms  110366
17. belgium  381570  481536  7239.735864441527  952ms  573799  1039ms  689880
18. belgium  607187  941655  2464.3332996788013  396ms  261278  419ms  289940
19. belgium  365216  498139  7118.192254804538  1675ms  935667  1976ms  1663880
20. belgium  141072  267438  2088.5678068077536  485ms  313429  552ms  390776
21. belgium  508384  637309  6129.260774677913  1849ms  912056  1970ms  1181140
22. belgium  361432  771007  5614.0907334094145  1873ms  862098  1737ms  1144500
23. belgium  419158  217072  5575.916333484229  1324ms  717570  1853ms  1180342
24. belgium  390334  396460  3722.0383756911124  914ms  466923  693ms  482088
25. belgium  557003  805818  5242.849818059639  995ms  623169  1111ms  695048
26. belgium  184599  21760  6267.101098725319  1723ms  930581  2512ms  1709382
27. belgium  546421  1001537  5564.389923284516  1672ms  860175  2842ms  1424396
28. belgium  498766  494660  2243.654133165089  226ms  163817  281ms  161060
29. belgium  244478  714874  4414.737498162985  1720ms  827072  1512ms  1160716
30. belgium  466713  665312  4752.616829294207  1512ms  917275  1482ms  1231350
31. belgium  907087  764935  4035.924192728859  914ms  550453  982ms  687710
32. belgium  1001095  789183  4050.2680035307326  870ms  537130  1066ms  737358
33. belgium  725540  941142  2448.6490395104547  374ms  249561  354ms  248598
34. belgium  852059  846305  3238.3372800134944  91ms  74614  131ms  104444
35. belgium  883684  707560  1350.9928690346314  146ms  95870  86ms  77438
36. belgium  162002  456316  3881.173840422311  1577ms  812810  1161ms  1049410
37. belgium  1012773  772952  7614.132379885238  1271ms  842219  2191ms  1528966
38. belgium  906997  93483  5567.97739775878  1429ms  734955  1440ms  1047514
39. belgium  439801  165353  3593.1170041568316  587ms  406235  504ms  372502
40. belgium  909173  256836  2022.4209956557936  307ms  186518  257ms  205852
41. belgium  1029889  924121  1887.3394038193571  329ms  209198  167ms  153182
42. belgium  486169  280961  5342.3279555768995  1358ms  851072  1714ms  1169288
43. belgium  358805  448769  6696.646992290816  1250ms  704037  1630ms  1215902
44. belgium  399249  161273  4119.690351825251  1132ms  641553  1269ms  850268
45. belgium  529502  751988  2443.4108497073735  158ms  135863  270ms  178228
46. belgium  515018  883833  4338.049910702204  952ms  544312  954ms  754112
47. belgium  68806  186491  2108.156555044583  368ms  182802  207ms  171932
48. belgium  444210  1022095  3669.2127800121293  559ms  326179  459ms  374384
49. belgium  1017955  659056  4478.743740382982  1248ms  834014  1702ms  1157554
50. belgium  1012789  829848  6050.717319133048  830ms  646140  1391ms  999922
51. belgium  326243  251428  7924.83106056368  1892ms  934661  2254ms  1638912
52. belgium  448977  919439  1684.1895449570256  169ms  107701  237ms  127372
53. belgium  437765  888923  2119.059001710893  116ms  72399  110ms  87186
54. belgium  708069  818622  3386.296729685649  776ms  396993  801ms  570592
55. belgium  638427  264556  1690.15210691779  338ms  135480  147ms  114918
56. belgium  185320  948202  973.7929486981491  154ms  95261  167ms  134006
57. belgium  729371  646771  2345.934775981086  408ms  219613  280ms  216564
58. belgium  781846  239353  2993.1633058441707  785ms  361325  494ms  404886
59. belgium  254886  81584  1711.272572987283  234ms  126494  159ms  119942
