Map,Origin,Destination,Cout,CPUtimeDijkstra,NodesReachedD,CPUtimeAStar,NodesReachedA
carre-dense,100302,359061,17560.57421875,90,13793,23,4422
carre-dense,301013,105733,77900.203125,1680,311347,275,81344
carre-dense,139944,50545,113212.78125,1471,306383,289,84026
carre-dense,69423,254402,90938.0390625,1021,301421,218,111404
carre-dense,70650,9513,48395.96484375,337,83876,66,18174
carre-dense,9051,285650,81683.671875,828,176024,117,44140
carre-dense,320953,117549,99883.859375,1249,294793,190,90246
carre-dense,128913,225173,71562.2421875,523,181705,132,68452
carre-dense,110631,253383,60142.16796875,575,169237,53,33874
carre-dense,36188,288767,107668.546875,829,261829,180,59524
carre-dense,151449,191589,61029.20703125,1437,234817,155,50852
carre-dense,118452,353208,58318.671875,853,188834,104,37706
carre-dense,198638,257597,101349.8671875,1117,321305,321,127416
carre-dense,139806,4275,51854.79296875,632,175869,116,32802
carre-dense,36073,153993,50690.828125,1152,199944,122,28776
carre-dense,151075,213649,46524.4453125,503,125293,75,21192
carre-dense,142848,109358,71321.2734375,1176,282411,133,62852
carre-dense,64593,83290,37569.7109375,346,106668,17,6712
carre-dense,94921,308463,88269.859375,1497,335961,244,101904
carre-dense,15722,54093,60837.86328125,1007,181128,98,45458
carre-dense,62726,241387,94500.875,1176,268339,181,55730
carre-dense,326077,265026,66470.0,950,264671,88,54080
carre-dense,174135,79210,66642.2109375,920,264661,10,7606
carre-dense,97539,9608,59229.16015625,555,179442,2426,719998
carre-dense,21865,5175,6217.8466796875,5,3442,1,598
carre-dense,81494,268517,110628.1171875,1213,327451,161,85780
carre-dense,285415,42798,93154.9921875,1107,289755,304,117070
carre-dense,44339,140265,76018.9140625,1502,290751,157,52764
carre-dense,309837,6148,8250.2978515625,14,5948,1,1138
carre-dense,268131,326298,14491.142578125,46,17862,4,2872
carre-dense,137123,72606,68800.3828125,589,204453,107,63670
carre-dense,164378,212563,102710.890625,1048,322540,178,94258
carre-dense,714,304654,68837.9140625,1346,297344,229,60256
carre-dense,119314,326440,34850.8125,636,100998,6,2926
carre-dense,109626,144821,57620.609375,848,171194,74,35070
carre-dense,190589,36183,54679.88671875,482,136540,71,40918
carre-dense,145895,356685,44771.21484375,169,72208,38,19822
carre-dense,98187,219357,42924.40625,423,131286,39,23638
carre-dense,357532,4861,35874.37109375,126,51473,27,15836
carre-dense,216447,177455,49030.05078125,640,178093,24,18010
carre-dense,48914,178227,88815.9921875,741,260138,266,95260
carre-dense,259449,115795,115262.7890625,1409,345848,403,176452
carre-dense,211483,103131,69998.8828125,783,213319,90,24046
carre-dense,58610,80952,55153.796875,603,175451,34,4092
carre-dense,359887,147157,15056.2919921875,24,10363,5,3094
carre-dense,59189,32387,61589.3125,729,188162,96,39400
carre-dense,142157,179035,51773.41796875,525,148462,28,17656
carre-dense,231500,80623,94780.7265625,887,278570,107,62784
carre-dense,177231,186586,72428.890625,524,177296,165,55002
carre-dense,322996,51205,79475.46875,1078,296020,229,82946
carre-dense,359135,242128,61827.109375,641,162100,172,52156
carre-dense,248969,191863,47499.1875,602,145936,60,31100
carre-dense,274339,243553,22453.822265625,155,42349,17,6622
carre-dense,252480,309704,75927.6796875,1067,286283,1770,676256
carre-dense,287291,149331,95683.0,1287,300012,65,24834
carre-dense,138221,185926,107074.296875,1280,354463,391,154192
carre-dense,178853,106983,50570.50390625,445,145462,25,13638
carre-dense,80377,327460,101724.46875,1115,308808,372,129520
carre-dense,13357,187106,135733.015625,1447,356391,2130,700596
carre-dense,341138,138099,75938.671875,381,145487,1791,697966
carre-dense,322188,298813,59772.453125,521,167624,73,48822
carre-dense,274385,146121,38144.28515625,317,97935,33,18408
carre-dense,205328,117507,70687.2109375,1090,298031,87,49788
carre-dense,308160,11024,119499.4296875,1396,302126,596,162854
carre-dense,46973,102183,30524.3515625,231,77806,16,9886
carre-dense,159883,88964,43052.63671875,245,89065,22,13058
carre-dense,337351,356996,24084.97265625,133,48655,12,6220
carre-dense,139889,164594,44615.578125,434,137191,50,26894
carre-dense,350063,40618,12665.806640625,19,10608,4,2250
carre-dense,1704,356472,43093.4296875,180,78775,8,4654
carre-dense,182770,46955,34950.7578125,260,73636,18,10636
carre-dense,1569,93815,92302.109375,775,263988,268,99294
carre-dense,168769,12081,89890.8671875,673,198201,207,83750
carre-dense,235107,324338,46776.25,398,115408,35,19888
carre-dense,267962,184771,49545.85546875,697,186920,1509,693342
carre-dense,45584,346047,86456.125,1296,256770,276,91342
carre-dense,307977,211830,76449.421875,1114,280184,140,78562
carre-dense,266104,20291,18105.857421875,52,27481,6,4772
carre-dense,309646,274429,70887.0078125,661,220249,105,67490
carre-dense,67157,59028,32334.080078125,284,73101,1721,719980
carre-dense,35800,187966,50917.63671875,350,115620,43,25502
carre-dense,71303,226173,75271.3984375,507,201676,112,73532
