Map  Origin  Destination  Cout  CPUtimeDijkstra  NodesReachedD  CPUtimeAStar  NodesReachedA
1. carre-dense  100302  359061  17560.57421875  90ms  13793  23ms  4422
2. carre-dense  301013  105733  77900.203125  1680ms  311347  275ms  81344
3. carre-dense  139944  50545  113212.78125  1471ms  306383  289ms  84026
4. carre-dense  69423  254402  90938.0390625  1021ms  301421  218ms  111404
5. carre-dense  70650  9513  48395.96484375  337ms  83876  66ms  18174
6. carre-dense  9051  285650  81683.671875  828ms  176024  117ms  44140
7. carre-dense  320953  117549  99883.859375  1249ms  294793  190ms  90246
8. carre-dense  128913  225173  71562.2421875  523ms  181705  132ms  68452
9. carre-dense  110631  253383  60142.16796875  575ms  169237  53ms  33874
10. carre-dense  36188  288767  107668.546875  829ms  261829  180ms  59524
11. carre-dense  151449  191589  61029.20703125  1437ms  234817  155ms  50852
12. carre-dense  118452  353208  58318.671875  853ms  188834  104ms  37706
13. carre-dense  198638  257597  101349.8671875  1117ms  321305  321ms  127416
14. carre-dense  139806  4275  51854.79296875  632ms  175869  116ms  32802
15. carre-dense  36073  153993  50690.828125  1152ms  199944  122ms  28776
16. carre-dense  151075  213649  46524.4453125  503ms  125293  75ms  21192
17. carre-dense  142848  109358  71321.2734375  1176ms  282411  133ms  62852
18. carre-dense  64593  83290  37569.7109375  346ms  106668  17ms  6712
19. carre-dense  94921  308463  88269.859375  1497ms  335961  244ms  101904
20. carre-dense  15722  54093  60837.86328125  1007ms  181128  98ms  45458
21. carre-dense  62726  241387  94500.875  1176ms  268339  181ms  55730
22. carre-dense  326077  265026  66470.0  950ms  264671  88ms  54080
23. carre-dense  174135  79210  66642.2109375  920ms  264661  10ms  7606
24. carre-dense  97539  9608  59229.16015625  555ms  179442  2426ms  719998
25. carre-dense  21865  5175  6217.8466796875  5ms  3442  1ms  598
26. carre-dense  81494  268517  110628.1171875  1213ms  327451  161ms  85780
27. carre-dense  285415  42798  93154.9921875  1107ms  289755  304ms  117070
28. carre-dense  44339  140265  76018.9140625  1502ms  290751  157ms  52764
29. carre-dense  309837  6148  8250.2978515625  14ms  5948  1ms  1138
30. carre-dense  268131  326298  14491.142578125  46ms  17862  4ms  2872
