Map,Origin,Destination,Cout,CPUtimeDijkstra,NodesReachedD,CPUtimeAStar,NodesReachedA
carre-dense,29375,252640,98680.328125,1133,291171,347,127412
carre-dense,358469,116071,64470.73046875,438,148681,91,52462
carre-dense,341987,183545,19080.64453125,179,30710,7,5064
carre-dense,275052,301184,89347.1171875,901,273950,224,98674
carre-dense,135419,39952,102638.3203125,1416,354610,364,100298
carre-dense,262681,241725,70681.234375,427,126322,108,62262
carre-dense,106318,258667,57763.578125,298,101990,65,42740
carre-dense,312127,144118,107575.3359375,1113,347128,243,136782
carre-dense,165546,2300,57893.6328125,385,155053,65,44594
carre-dense,113156,81623,100862.640625,891,294941,226,131408
carre-dense,292557,102350,108410.4765625,1002,353721,361,108144
carre-dense,96423,117225,101191.84375,1097,315253,97,33916
carre-dense,37440,249795,34638.80859375,224,83009,28,16644
carre-dense,193795,89133,103520.3125,1017,358622,249,131508
carre-dense,344790,114249,38924.21875,219,105428,23,16462
carre-dense,106044,2380,107587.234375,845,330737,146,62734
carre-dense,254665,211629,89265.484375,636,243030,85,30848
carre-dense,76090,242051,54298.35546875,1055,228356,13,6572
carre-dense,303319,195538,74948.734375,866,233433,136,68770
carre-dense,301498,232016,43699.546875,184,81510,28,23988
carre-dense,299979,98950,84085.078125,711,272815,142,88916
carre-dense,181677,107599,37080.71484375,283,114471,20,12188
carre-dense,155863,140538,120996.75,807,319059,305,178842
carre-dense,183256,131421,33079.5078125,216,67070,51,13714
carre-dense,107742,153880,40292.08984375,186,69835,26,18818
carre-dense,221349,78774,48343.921875,146,63306,51,32184
carre-dense,330742,338012,103653.2265625,965,307354,13,8796
carre-dense,54933,92133,75594.421875,789,282913,120,73276
carre-dense,133705,144216,90267.4609375,733,291941,150,74770
carre-dense,41344,234057,65059.328125,379,116884,86,54348
carre-dense,155333,66646,52123.2734375,474,174824,49,28842
carre-dense,247865,33481,68487.03125,374,148182,74,20618
carre-dense,310443,213328,36684.60546875,375,112061,34,14344
carre-dense,217667,202534,57573.875,884,245879,49,31046
carre-dense,193065,119260,90493.328125,877,290917,167,105158
carre-dense,192870,279288,62034.1953125,573,206849,69,52054
carre-dense,66739,324809,62914.21484375,232,127113,64,38450
carre-dense,189225,266444,90801.5625,659,280923,236,108126
carre-dense,62252,20266,137445.953125,1079,358638,328,116748
carre-dense,34964,266775,110037.140625,931,341144,343,133774
carre-dense,239183,311382,119399.609375,1117,345371,49,20170
carre-dense,90578,63197,78314.796875,560,225892,135,79152
carre-dense,350027,350914,56296.984375,228,123540,75,40068
carre-dense,16831,314699,98327.8359375,702,287840,47,30212
carre-dense,234266,107616,79626.1953125,882,296628,28,14820
carre-dense,295060,338886,47262.03515625,397,153216,46,29574
carre-dense,44676,266860,21686.796875,76,25527,4,2596
carre-dense,146800,247751,84235.421875,762,227073,80,41564
carre-dense,89264,195972,55324.9375,485,146757,69,38836
carre-dense,329074,335331,24051.150390625,120,48520,11,7960
carre-dense,79634,182578,25540.203125,51,31109,11,7396
carre-dense,237145,284246,36430.7421875,332,110530,1219,719336
carre-dense,250181,225717,55237.8515625,415,170016,64,41682
