Map  Origin  Destination  Cout  CPUtimeDijkstra  NodesReachedD  CPUtimeAStar  NodesReachedA
1. carre-dense  29375  252640  98680.328125  1133ms  291171  347ms  127412
2. carre-dense  358469  116071  64470.73046875  438ms  148681  91ms  52462
3. carre-dense  341987  183545  19080.64453125  179ms  30710  7ms  5064
4. carre-dense  275052  301184  89347.1171875  901ms  273950  224ms  98674
5. carre-dense  135419  39952  102638.3203125  1416ms  354610  364ms  100298
6. carre-dense  262681  241725  70681.234375  427ms  126322  108ms  62262
7. carre-dense  106318  258667  57763.578125  298ms  101990  65ms  42740
8. carre-dense  312127  144118  107575.3359375  1113ms  347128  243ms  136782
9. carre-dense  165546  2300  57893.6328125  385ms  155053  65ms  44594
10. carre-dense  113156  81623  100862.640625  891ms  294941  226ms  131408
11. carre-dense  292557  102350  108410.4765625  1002ms  353721  361ms  108144
12. carre-dense  96423  117225  101191.84375  1097ms  315253  97ms  33916
13. carre-dense  37440  249795  34638.80859375  224ms  83009  28ms  16644
14. carre-dense  193795  89133  103520.3125  1017ms  358622  249ms  131508
15. carre-dense  344790  114249  38924.21875  219ms  105428  23ms  16462
16. carre-dense  106044  2380  107587.234375  845ms  330737  146ms  62734
17. carre-dense  254665  211629  89265.484375  636ms  243030  85ms  30848
18. carre-dense  76090  242051  54298.35546875  1055ms  228356  13ms  6572
19. carre-dense  303319  195538  74948.734375  866ms  233433  136ms  68770
20. carre-dense  301498  232016  43699.546875  184ms  81510  28ms  23988
21. carre-dense  299979  98950  84085.078125  711ms  272815  142ms  88916
22. carre-dense  181677  107599  37080.71484375  283ms  114471  20ms  12188
23. carre-dense  155863  140538  120996.75  807ms  319059  305ms  178842
24. carre-dense  183256  131421  33079.5078125  216ms  67070  51ms  13714
25. carre-dense  107742  153880  40292.08984375  186ms  69835  26ms  18818
26. carre-dense  221349  78774  48343.921875  146ms  63306  51ms  32184
27. carre-dense  330742  338012  103653.2265625  965ms  307354  13ms  8796
28. carre-dense  54933  92133  75594.421875  789ms  282913  120ms  73276
29. carre-dense  133705  144216  90267.4609375  733ms  291941  150ms  74770
30. carre-dense  41344  234057  65059.328125  379ms  116884  86ms  54348
31. carre-dense  155333  66646  52123.2734375  474ms  174824  49ms  28842
32. carre-dense  247865  33481  68487.03125  374ms  148182  74ms  20618
33. carre-dense  310443  213328  36684.60546875  375ms  112061  34ms  14344
34. carre-dense  217667  202534  57573.875  884ms  245879  49ms  31046
35. carre-dense  193065  119260  90493.328125  877ms  290917  167ms  105158
36. carre-dense  192870  279288  62034.1953125  573ms  206849  69ms  52054
37. carre-dense  66739  324809  62914.21484375  232ms  127113  64ms  38450
38. carre-dense  189225  266444  90801.5625  659ms  280923  236ms  108126
39. carre-dense  62252  20266  137445.953125  1079ms  358638  328ms  116748
40. carre-dense  34964  266775  110037.140625  931ms  341144  343ms  133774
41. carre-dense  239183  311382  119399.609375  1117ms  345371  49ms  20170
42. carre-dense  90578  63197  78314.796875  560ms  225892  135ms  79152
43. carre-dense  350027  350914  56296.984375  228ms  123540  75ms  40068
44. carre-dense  16831  314699  98327.8359375  702ms  287840  47ms  30212
45. carre-dense  234266  107616  79626.1953125  882ms  296628  28ms  14820
46. carre-dense  295060  338886  47262.03515625  397ms  153216  46ms  29574
47. carre-dense  44676  266860  21686.796875  76ms  25527  4ms  2596
48. carre-dense  146800  247751  84235.421875  762ms  227073  80ms  41564
49. carre-dense  89264  195972  55324.9375  485ms  146757  69ms  38836
50. carre-dense  329074  335331  24051.150390625  120ms  48520  11ms  7960
51. carre-dense  79634  182578  25540.203125  51ms  31109  11ms  7396
52. carre-dense  237145  284246  36430.7421875  332ms  110530  1219ms  719336
53. carre-dense  250181  225717  55237.8515625  415ms  170016  64ms  41682
54. carre-dense  348331  42674  64184.28125  433ms  140140  133ms  43470
55. carre-dense  272446  247146  39270.1953125  298ms  80302  26ms  9120
56. carre-dense  128458  324140  139788.25  1278ms  357919  287ms  107938
57. carre-dense  255035  334224  50314.1796875  344ms  156790  34ms  29444
58. carre-dense  176808  79573  15431.927734375  18ms  13249  2ms  1658
59. carre-dense  71952  85954  91188.109375  344ms  189671  152ms  106266
60. carre-dense  5899  344402  114089.75  1075ms  349156  347ms  173840
61. carre-dense  120771  70208  74981.0234375  883ms  319896  127ms  59150
62. carre-dense  359229  333015  98048.546875  994ms  334035  203ms  106694
63. carre-dense  296998  332847  22155.19140625  88ms  40835  3ms  1856
64. carre-dense  83088  18773  108086.3203125  775ms  303673  82ms  50840
65. carre-dense  42083  348412  41805.6328125  239ms  119079  14ms  11766
66. carre-dense  47820  19775  121312.5546875  789ms  330066  3475ms  719998
67. carre-dense  259935  87237  53253.98046875  371ms  168571  39ms  32588
68. carre-dense  99429  88947  62479.0859375  466ms  182512  78ms  46740
69. carre-dense  220419  275288  24086.86328125  64ms  38896  7ms  6510
70. carre-dense  314147  121572  103757.4140625  834ms  320566  163ms  98842
71. carre-dense  238205  734  50013.36328125  337ms  123991  42ms  32344
72. carre-dense  246651  184194  112774.6953125  998ms  357925  317ms  108302
73. carre-dense  211461  215193  106449.8828125  888ms  291933  1287ms  719496
74. carre-dense  326798  235926  82952.4140625  774ms  276906  121ms  87286
75. carre-dense  267281  267794  60716.75  369ms  175895  59ms  44280
76. carre-dense  190332  116471  84205.65625  842ms  326681  135ms  44426
77. carre-dense  149349  236639  35382.59765625  134ms  56880  23ms  15886
78. carre-dense  205703  334776  27510.912109375  114ms  51176  4ms  3220
79. carre-dense  358251  164949  106834.9609375  1113ms  353576  288ms  147742
80. carre-dense  142207  248041  61548.84375  299ms  145485  7ms  5800
81. carre-dense  175944  88123  109936.2109375  1020ms  324086  210ms  70768
82. carre-dense  333868  12862  97202.5234375  837ms  316759  114ms  56956
83. carre-dense  133323  113127  88536.125  760ms  267679  149ms  71498
84. carre-dense  109022  218641  30113.869140625  250ms  72930  19ms  11572
85. carre-dense  253397  103078  89675.328125  1053ms  303936  135ms  61738
86. carre-dense  317300  137928  31060.556640625  192ms  80542  9ms  7502
87. carre-dense  282534  127602  60658.6484375  327ms  159259  61ms  50244
88. carre-dense  13730  89217  18806.126953125  52ms  29844  5ms  4186
89. carre-dense  108315  3455  9899.423828125  12ms  8473  2ms  1476
90. carre-dense  153918  24755  59717.55859375  578ms  233202  36ms  29584
91. carre-dense  54946  130113  52920.78125  236ms  117502  31ms  22202
92. carre-dense  234804  129270  65044.22265625  776ms  274918  68ms  51524
