Map;Origin;Destination;Cout;CPUtimeDijkstra;NodesReachedD;CPUtimeAStar;NodesReachedA
vietnam;371418;290490;495086.40625;119;71177;99;61822
vietnam;242940;220745;1826612.875;611;367062;702;660326
vietnam;66620;146103;1119465.75;313;273040;484;499272
vietnam;114049;259261;1593775.75;418;353852;986;624922
vietnam;382518;351062;0.0;0;1;1;2
vietnam;329444;123439;0.0;1;1;1;2
vietnam;241463;319642;462883.21875;223;197203;431;267412
vietnam;296436;100246;487936.125;79;105779;119;121232
vietnam;118947;135603;204786.125;70;92121;17;19196
vietnam;87589;285304;949988.875;261;350292;398;440560
vietnam;388111;285341;235619.671875;219;131198;134;147600
vietnam;60602;342579;0.0;0;20;1;40
vietnam;71244;168627;1738178.75;425;340202;778;615586
vietnam;20063;353707;1519118.875;191;222686;484;367156
vietnam;387342;72293;0.0;1;3;0;6
vietnam;129375;255655;205903.625;90;106823;40;41694
vietnam;157866;312904;244388.921875;27;38568;37;34970
vietnam;104059;362619;1450117.75;193;269294;445;368666
vietnam;316546;268615;0.0;0;8;1;16
vietnam;241559;316667;408773.875;152;182921;313;217082
vietnam;61771;247186;169984.078125;147;107878;167;111556
vietnam;342477;291636;296920.1875;60;67751;23;24808
vietnam;217869;187483;862515.9375;326;320985;314;313298
vietnam;112540;327906;2039840.75;450;371904;874;712466
vietnam;230834;235752;245872.71875;119;157774;68;85148
vietnam;367408;82811;257331.234375;137;155037;170;175274
vietnam;205839;382178;365693.6875;65;89621;93;101512
vietnam;350385;262397;195368.953125;22;31810;14;15382
vietnam;97937;313475;939454.4375;99;156876;375;274134
vietnam;218321;110709;599831.9375;103;124340;148;151538
vietnam;46977;98301;1521789.0;224;302967;630;589908
vietnam;247870;187097;283222.25;114;160687;196;201116
vietnam;286032;385600;1518292.5;447;367662;752;544924
vietnam;236347;253729;512226.34375;185;207316;68;73220
vietnam;163649;184070;1580884.75;501;345203;1295;540162
vietnam;358239;377239;255190.84375;233;70678;26;27270
vietnam;103395;338291;0.0;392;373436;938;746872
vietnam;57940;90175;202210.234375;100;25900;20;23576
vietnam;277660;296645;1035069.0;93;130113;190;216764
vietnam;357732;110186;0.0;253;373436;641;746872
vietnam;11375;131046;5903.29833984375;25;15221;5;5476
vietnam;288846;117298;371127.1875;70;94071;44;55692
vietnam;173926;342015;497535.46875;223;131937;104;101106
vietnam;297161;336187;638706.625;75;128789;106;136324
vietnam;175407;328318;899181.4375;230;149745;266;238846
vietnam;35321;99415;419652.25;353;194225;271;234720
vietnam;160970;236970;1575411.75;266;313819;409;421324
vietnam;218294;352328;777427.375;143;203910;332;211704
vietnam;308833;124446;749948.625;179;244167;151;166460
vietnam;290933;82845;1409338.875;247;349364;357;432704
vietnam;69058;346508;0.0;407;373436;769;746872
vietnam;208857;94468;909487.75;183;238095;403;377688
vietnam;282383;125545;632900.1875;283;156543;122;145670
vietnam;327434;378239;1502986.25;364;311545;2150;592954
vietnam;2254;380057;151075.15625;66;60709;142;54036
vietnam;344667;312577;706495.5;556;225733;605;308384
vietnam;291463;136158;778447.875;250;264508;396;341608
vietnam;5006;19588;782726.3125;223;246455;349;337678
vietnam;323937;72207;71277.078125;46;38856;81;8860
vietnam;64614;381835;21640.478515625;54;27870;9;8368
vietnam;248553;186620;1767041.75;457;360373;641;641808
vietnam;12065;307192;0.0;252;373436;1084;746872
vietnam;8271;14719;37584.7421875;61;70585;21;23944
vietnam;121883;210927;829735.4375;154;221230;167;190960
vietnam;109881;299554;828830.4375;236;237300;246;298294
vietnam;309587;303572;78595.09375;19;26759;10;9970
vietnam;366020;325976;968831.6875;252;273806;416;477864
vietnam;239750;360391;149910.328125;99;88308;55;55028
vietnam;220256;36192;753720.625;231;232985;436;315582
vietnam;263656;29527;709673.875;81;103936;189;167242
vietnam;247946;386323;0.0;1;214;0;428
vietnam;88039;26121;905031.6875;203;265118;435;408794
vietnam;79312;127248;630410.375;197;224544;129;130834
vietnam;157813;368438;1710226.5;343;340523;560;397110
vietnam;40914;242438;147988.875;16;20768;12;11640
vietnam;14541;30126;132818.828125;90;124033;110;126248
vietnam;252565;33791;667396.0625;165;220808;139;138250
vietnam;373639;63188;607488.75;197;249119;279;313480
vietnam;365471;102863;292427.0625;156;170107;191;192218
vietnam;7539;166941;1473999.125;322;308740;566;593372
vietnam;191011;160236;120048.15625;84;100808;63;71504
vietnam;70288;10631;49984.625;48;66472;29;36908
vietnam;149689;278041;1835983.125;336;370193;519;694078
vietnam;130064;186909;260280.84375;92;133555;292;369548
vietnam;377525;36834;0.0;0;39;0;78
vietnam;13448;264064;1707611.25;321;364006;479;658584
vietnam;18110;126106;689376.8125;130;217575;234;334710
vietnam;318639;182125;1775829.5;113;213107;382;390438
vietnam;202530;221453;95012.71875;97;102421;88;81210
vietnam;299870;143110;1817529.875;223;330285;437;613212
vietnam;307715;107978;477310.90625;145;98658;64;87230
vietnam;259057;127411;369646.21875;45;69053;24;35408
vietnam;181664;210356;113556.7734375;16;24773;6;9980
vietnam;156012;279640;1966922.5;226;373248;530;703346
vietnam;233153;262422;150125.34375;6;12561;7;9740
vietnam;148962;370566;2010744.0;210;373375;625;702770
vietnam;112364;302237;0.0;254;373436;525;746872
vietnam;85768;80568;66442.1328125;6;11259;8;9210
vietnam;153488;176939;115646.8203125;82;109788;100;112682
vietnam;142769;296201;778472.625;83;135603;179;225662
