Map  Origin  Destination  Cout  CPUtimeDijkstra  NodesReachedD  CPUtimeAStar  NodesReachedA
1. vietnam  371418  290490  495086.40625  119ms  71177  99ms  61822
2. vietnam  242940  220745  1826612.875  611ms  367062  702ms  660326
3. vietnam  66620  146103  1119465.75  313ms  273040  484ms  499272
4. vietnam  114049  259261  1593775.75  418ms  353852  986ms  624922
5. vietnam  382518  351062  0.0  0ms  1  1ms  2
6. vietnam  329444  123439  0.0  1ms  1  1ms  2
7. vietnam  241463  319642  462883.21875  223ms  197203  431ms  267412
8. vietnam  296436  100246  487936.125  79ms  105779  119ms  121232
9. vietnam  118947  135603  204786.125  70ms  92121  17ms  19196
10. vietnam  87589  285304  949988.875  261ms  350292  398ms  440560
11. vietnam  388111  285341  235619.671875  219ms  131198  134ms  147600
12. vietnam  60602  342579  0.0  0ms  20  1ms  40
13. vietnam  71244  168627  1738178.75  425ms  340202  778ms  615586
14. vietnam  20063  353707  1519118.875  191ms  222686  484ms  367156
15. vietnam  387342  72293  0.0  1ms  3  0ms  6
16. vietnam  129375  255655  205903.625  90ms  106823  40ms  41694
17. vietnam  157866  312904  244388.921875  27ms  38568  37ms  34970
18. vietnam  104059  362619  1450117.75  193ms  269294  445ms  368666
19. vietnam  316546  268615  0.0  0ms  8  1ms  16
20. vietnam  241559  316667  408773.875  152ms  182921  313ms  217082
21. vietnam  61771  247186  169984.078125  147ms  107878  167ms  111556
22. vietnam  342477  291636  296920.1875  60ms  67751  23ms  24808
23. vietnam  217869  187483  862515.9375  326ms  320985  314ms  313298
24. vietnam  112540  327906  2039840.75  450ms  371904  874ms  712466
25. vietnam  230834  235752  245872.71875  119ms  157774  68ms  85148
26. vietnam  367408  82811  257331.234375  137ms  155037  170ms  175274
27. vietnam  205839  382178  365693.6875  65ms  89621  93ms  101512
28. vietnam  350385  262397  195368.953125  22ms  31810  14ms  15382
29. vietnam  97937  313475  939454.4375  99ms  156876  375ms  274134
30. vietnam  218321  110709  599831.9375  103ms  124340  148ms  151538
31. vietnam  46977  98301  1521789.0  224ms  302967  630ms  589908
32. vietnam  247870  187097  283222.25  114ms  160687  196ms  201116
33. vietnam  286032  385600  1518292.5  447ms  367662  752ms  544924
34. vietnam  236347  253729  512226.34375  185ms  207316  68ms  73220
35. vietnam  163649  184070  1580884.75  501ms  345203  1295ms  540162
36. vietnam  358239  377239  255190.84375  233ms  70678  26ms  27270
37. vietnam  103395  338291  0.0  392ms  373436  938ms  746872
38. vietnam  57940  90175  202210.234375  100ms  25900  20ms  23576
39. vietnam  277660  296645  1035069.0  93ms  130113  190ms  216764
40. vietnam  357732  110186  0.0  253ms  373436  641ms  746872
41. vietnam  11375  131046  5903.29833984375  25ms  15221  5ms  5476
42. vietnam  288846  117298  371127.1875  70ms  94071  44ms  55692
43. vietnam  173926  342015  497535.46875  223ms  131937  104ms  101106
44. vietnam  297161  336187  638706.625  75ms  128789  106ms  136324
45. vietnam  175407  328318  899181.4375  230ms  149745  266ms  238846
46. vietnam  35321  99415  419652.25  353ms  194225  271ms  234720
47. vietnam  160970  236970  1575411.75  266ms  313819  409ms  421324
48. vietnam  218294  352328  777427.375  143ms  203910  332ms  211704
