Map,Origin,Destination,Cout,CPUtimeDijkstra,NodesReachedD,CPUtimeAStar,NodesReachedA
vietnam,270728,147693,1728047.25,1171,339192,1955,657678
vietnam,350275,330065,554702.875,196,93077,284,159718
vietnam,51554,299564,876952.9375,513,251996,612,434548
vietnam,324322,127184,234993.703125,86,46685,23,19268
vietnam,103457,87656,1352798.625,225,202174,514,383460
vietnam,107259,206200,1799851.125,400,338530,808,621884
vietnam,84393,371950,348378.46875,145,163466,254,206566
vietnam,161337,263721,1732875.5,384,356473,681,649416
vietnam,15178,76881,1030141.3125,299,271989,471,534716
vietnam,359098,161090,20044.623046875,47,46452,55,61434
vietnam,293458,155010,1088972.25,393,360943,700,528516
vietnam,98982,146012,320947.59375,64,72886,90,93762
vietnam,355828,132002,10830.8896484375,30,23525,305,306894
vietnam,205910,237342,301010.125,56,76993,121,108196
vietnam,10682,163871,1520575.625,431,301511,809,595914
vietnam,335217,197959,1815647.25,263,279671,419,445560
vietnam,264996,96351,1065251.0,421,174949,575,329478
vietnam,14990,188681,32895.9453125,30,19802,22,19260
vietnam,38620,56541,570505.375,173,149148,139,124880
vietnam,172616,146999,1336479.375,295,308880,483,500406
vietnam,56507,177952,1100720.0,395,352051,254,258432
vietnam,388826,169044,0.0,7,3,6,6
vietnam,204012,109641,129844.2421875,121,129165,234,179404
vietnam,263128,300936,835850.3125,148,136577,324,243820
vietnam,10819,320258,4764.7001953125,11,11260,21,9786
vietnam,320043,168200,70948.421875,77,38330,29,16630
vietnam,74578,266634,90706.25,63,37042,59,34098
vietnam,63078,177361,1642667.75,566,349428,666,629574
vietnam,262165,90510,0.0,608,373436,763,746872
vietnam,314107,317,1274670.625,339,321475,321,302058
vietnam,379353,242273,1327971.875,166,186197,429,344508
vietnam,22714,35571,13639.7216796875,4,3639,1,820
vietnam,341702,89956,134304.375,137,118095,165,165872
vietnam,22633,193383,1368899.5,171,195098,331,350986
vietnam,47576,374825,290126.3125,310,159506,212,221528
vietnam,240913,67981,41771.48828125,76,59045,34,39862
vietnam,146620,153397,55671.765625,91,77420,136,119942
vietnam,251940,335299,1019744.3125,422,344228,240,274680
vietnam,213539,292380,1305272.75,311,285717,459,565244
vietnam,247675,272859,1760687.875,249,313649,731,610266
vietnam,313044,203968,0.0,370,373436,637,746872
vietnam,250968,86220,50218.484375,12,16539,9,9770
vietnam,184623,335426,0.0,307,373436,656,746872
vietnam,7099,238109,1642022.375,348,340600,781,653804
vietnam,67836,2960,0.0,336,373436,827,746872
vietnam,337650,385289,86828.4765625,16,15386,11,11836
vietnam,25872,273910,733780.75,314,184045,150,194520
vietnam,386072,107736,771590.5625,143,190244,318,372032
vietnam,65996,354651,30833.95703125,9,11623,88,5566
vietnam,184466,143552,1730738.75,395,313747,678,611386
vietnam,8913,66503,105273.0234375,133,112515,169,174852
vietnam,264346,210526,1732283.0,235,248989,587,454260
vietnam,315623,255753,901997.5,297,301269,210,242486
vietnam,294208,147251,934003.75,467,329274,471,455560
vietnam,105050,117306,572339.75,121,109413,86,98610
vietnam,4781,39159,1076025.25,231,274034,485,539072
vietnam,113749,133640,0.0,365,373436,806,746872
vietnam,292608,323364,874755.4375,512,321530,617,456902
vietnam,77075,138162,1579988.25,392,340508,499,610386
vietnam,97371,87766,177168.25,16,16436,6,8232
vietnam,12793,23445,1627641.875,251,316477,577,616184
vietnam,207594,341387,1539332.625,285,358995,582,680786
vietnam,43686,100279,526904.625,200,115046,125,160298
vietnam,223074,40880,274365.0625,110,153204,58,79954
vietnam,100633,300109,486869.09375,176,206151,34,51636
vietnam,112025,9935,13517.58203125,19,26562,16,19438
vietnam,320853,244218,796560.125,221,257454,246,300824
vietnam,191416,127724,935969.6875,124,155667,214,284820
vietnam,253556,232870,187241.90625,90,101517,51,13928
vietnam,215878,302266,118132.6328125,35,36458,27,32728
vietnam,219565,325991,184289.375,53,57417,70,75672
vietnam,24748,107116,754626.375,156,153133,220,178228
vietnam,339965,228087,602501.5625,85,99814,174,171042
vietnam,90662,108013,242506.5625,38,26535,708,746820
vietnam,243818,318927,328318.0,151,170156,302,258896
vietnam,59730,168868,1891374.5,258,345428,574,623004
vietnam,5632,110873,247708.0625,179,151525,259,194592
vietnam,84362,240885,90080.6484375,83,75576,108,97700
vietnam,173027,221004,1940651.125,327,365762,648,680400
vietnam,89117,356106,1616814.75,353,331258,723,633866
vietnam,102171,283785,224694.78125,64,69431,24,30076
vietnam,303773,270783,911833.0,301,309432,161,217548
vietnam,774,214953,1603100.75,220,285499,438,473828
vietnam,164625,266299,250207.625,38,46730,28,36818
vietnam,138938,252154,763367.8125,298,223007,512,421040
vietnam,28038,293472,110739.2109375,29,27672,30,34500
vietnam,297879,192099,862667.875,291,270754,404,289938
vietnam,333748,108168,0.0,2,0,1,0
vietnam,237397,381978,59442.5078125,146,88216,306,134446
vietnam,125531,12597,719626.25,182,187707,222,226610
vietnam,220723,81726,907352.6875,142,203015,313,382932
vietnam,181106,10607,1732188.5,307,295566,707,500482
vietnam,217998,18717,1039048.0,471,351428,517,499008
vietnam,253300,51906,201944.328125,156,130868,264,220826
vietnam,39505,191384,646056.0,206,134625,194,135278
vietnam,308866,22035,587066.1875,142,126469,122,103020
vietnam,214789,360938,35248.4375,127,65936,125,95984
vietnam,217528,11620,346405.5,104,97156,133,104412
vietnam,378936,82923,1661264.125,281,233635,438,438360
vietnam,209403,224387,244046.59375,108,151100,165,194886
