Map  Origin  Destination  Cout  CPUtimeDijkstra  NodesReachedD  CPUtimeAStar  NodesReachedA
1. vietnam  270728  147693  1728047.25  1171ms  339192  1955ms  657678
2. vietnam  350275  330065  554702.875  196ms  93077  284ms  159718
3. vietnam  51554  299564  876952.9375  513ms  251996  612ms  434548
4. vietnam  324322  127184  234993.703125  86ms  46685  23ms  19268
5. vietnam  103457  87656  1352798.625  225ms  202174  514ms  383460
6. vietnam  107259  206200  1799851.125  400ms  338530  808ms  621884
7. vietnam  84393  371950  348378.46875  145ms  163466  254ms  206566
8. vietnam  161337  263721  1732875.5  384ms  356473  681ms  649416
9. vietnam  15178  76881  1030141.3125  299ms  271989  471ms  534716
10. vietnam  359098  161090  20044.623046875  47ms  46452  55ms  61434
11. vietnam  293458  155010  1088972.25  393ms  360943  700ms  528516
12. vietnam  98982  146012  320947.59375  64ms  72886  90ms  93762
13. vietnam  355828  132002  10830.8896484375  30ms  23525  305ms  306894
14. vietnam  205910  237342  301010.125  56ms  76993  121ms  108196
15. vietnam  10682  163871  1520575.625  431ms  301511  809ms  595914
16. vietnam  335217  197959  1815647.25  263ms  279671  419ms  445560
17. vietnam  264996  96351  1065251.0  421ms  174949  575ms  329478
18. vietnam  14990  188681  32895.9453125  30ms  19802  22ms  19260
19. vietnam  38620  56541  570505.375  173ms  149148  139ms  124880
20. vietnam  172616  146999  1336479.375  295ms  308880  483ms  500406
21. vietnam  56507  177952  1100720.0  395ms  352051  254ms  258432
22. vietnam  388826  169044  0.0  7ms  3  6ms  6
23. vietnam  204012  109641  129844.2421875  121ms  129165  234ms  179404
24. vietnam  263128  300936  835850.3125  148ms  136577  324ms  243820
25. vietnam  10819  320258  4764.7001953125  11ms  11260  21ms  9786
26. vietnam  320043  168200  70948.421875  77ms  38330  29ms  16630
27. vietnam  74578  266634  90706.25  63ms  37042  59ms  34098
28. vietnam  63078  177361  1642667.75  566ms  349428  666ms  629574
29. vietnam  262165  90510  0.0  608ms  373436  763ms  746872
30. vietnam  314107  317  1274670.625  339ms  321475  321ms  302058
31. vietnam  379353  242273  1327971.875  166ms  186197  429ms  344508
32. vietnam  22714  35571  13639.7216796875  4ms  3639  1ms  820
33. vietnam  341702  89956  134304.375  137ms  118095  165ms  165872
34. vietnam  22633  193383  1368899.5  171ms  195098  331ms  350986
35. vietnam  47576  374825  290126.3125  310ms  159506  212ms  221528
36. vietnam  240913  67981  41771.48828125  76ms  59045  34ms  39862
37. vietnam  146620  153397  55671.765625  91ms  77420  136ms  119942
